MONTH,DAY,YEAR,WEEKDAY,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Apr,3,2016,Sunday,66,44,21,14,14,20,35,65,144,186,260,386,441,423,404,398,391,374,290,221,142,80,41,34
Apr,4,2016,Monday,14,16,10,17,34,93,149,216,177,183,204,243,274,293,447,553,697,573,324,255,202,106,69,66
Apr,5,2016,Tuesday,19,17,27,28,38,85,142,216,170,223,218,244,309,297,402,517,716,569,314,210,161,116,84,73
Apr,6,2016,Wednesday,28,26,29,26,43,82,145,224,161,202,222,257,247,288,397,575,709,630,350,246,178,113,90,71
Apr,7,2016,Thursday,30,23,26,24,42,82,151,193,170,163,220,260,317,316,457,579,708,619,349,228,185,122,78,73
Apr,8,2016,Friday,33,35,34,27,43,76,127,192,189,205,233,314,377,398,479,607,749,651,413,264,228,152,123,108
Apr,9,2016,Saturday,45,47,28,12,20,32,74,105,167,237,322,436,453,400,401,377,399,356,339,206,176,155,84,74
Apr,10,2016,Sunday,52,63,26,16,6,18,31,62,105,177,274,350,416,381,367,367,309,321,272,177,144,86,51,41
Apr,11,2016,Monday,18,14,13,18,29,94,163,236,187,197,225,235,294,288,419,519,673,585,311,250,183,120,78,69
Apr,12,2016,Tuesday,24,22,27,22,41,89,154,238,186,193,217,250,270,291,422,580,749,561,382,246,210,119,85,87
Apr,13,2016,Wednesday,30,15,28,25,47,86,167,216,165,167,229,260,279,337,478,602,707,669,371,277,206,102,94,76
Apr,14,2016,Thursday,35,20,28,23,54,84,176,219,153,196,236,288,280,361,453,615,726,619,368,265,205,132,98,90
Apr,15,2016,Friday,39,25,27,35,45,81,166,197,212,235,254,361,399,392,540,689,727,647,428,317,260,202,132,101
Apr,16,2016,Saturday,51,41,29,16,17,30,63,138,177,289,447,543,526,465,511,468,417,424,324,246,222,196,126,89
Apr,17,2016,Sunday,55,54,32,14,10,27,46,91,117,214,335,395,478,453,401,414,347,326,282,198,139,82,60,41
Apr,18,2016,Monday,25,8,10,16,35,84,187,223,184,159,253,262,308,332,462,600,761,602,340,194,178,97,79,71
Apr,19,2016,Tuesday,25,20,26,22,36,82,155,224,182,194,228,272,268,314,443,571,713,636,398,269,180,131,87,86
Apr,20,2016,Wednesday,17,20,23,23,46,77,183,231,167,207,256,252,252,324,433,630,728,617,357,288,188,112,91,73
Apr,21,2016,Thursday,31,19,29,20,43,85,165,231,156,202,241,290,297,349,373,532,796,661,365,278,202,145,98,76
Apr,22,2016,Friday,29,28,40,29,41,81,150,232,207,221,306,333,393,389,556,673,744,686,448,288,264,179,139,91
Apr,23,2016,Saturday,57,44,28,16,21,46,77,157,220,302,355,415,443,493,440,427,399,394,369,305,204,153,121,94
Apr,24,2016,Sunday,66,53,21,9,17,19,40,76,119,207,270,354,384,386,377,360,374,370,287,179,162,84,54,26
Apr,25,2016,Monday,16,12,14,21,43,91,147,224,168,213,225,258,299,330,418,540,748,613,328,265,173,100,76,64
Apr,26,2016,Tuesday,37,20,28,20,48,91,147,229,174,192,202,242,280,311,498,555,740,643,342,224,200,132,87,73
Apr,27,2016,Wednesday,29,21,30,24,59,86,147,228,176,212,233,242,308,316,440,589,762,620,363,233,159,127,88,83
Apr,28,2016,Thursday,42,15,25,22,44,82,150,223,174,192,243,251,279,325,458,600,725,644,373,214,165,120,85,67
Apr,29,2016,Friday,40,34,31,24,45,72,138,214,209,238,265,345,401,376,568,699,806,774,543,340,188,177,134,114
Apr,30,2016,Saturday,61,49,28,15,20,26,44,111,196,277,356,404,414,443,386,415,416,431,329,225,190,135,94,71
May,1,2016,Sunday,60,43,27,12,15,30,29,64,127,222,271,358,426,431,404,442,334,349,285,200,179,85,58,31
May,2,2016,Monday,20,18,21,19,41,92,165,235,188,220,214,275,291,319,458,588,747,626,326,232,184,102,93,63
May,3,2016,Tuesday,27,22,31,22,43,82,162,228,203,225,253,269,321,314,447,591,749,611,382,264,171,134,91,74
May,4,2016,Wednesday,37,25,28,26,46,82,166,224,215,190,274,298,316,302,486,580,762,694,396,280,216,122,85,67
May,5,2016,Thursday,38,27,25,18,53,87,161,250,201,224,262,300,317,349,498,636,801,636,419,252,228,142,103,89
May,6,2016,Friday,44,18,37,22,48,75,167,251,227,328,348,446,477,515,613,693,892,900,633,363,266,174,115,106
May,7,2016,Saturday,52,45,25,21,32,26,55,164,251,318,375,486,460,485,497,485,394,452,350,285,253,148,117,97
May,8,2016,Sunday,50,39,16,10,22,25,29,70,160,265,380,489,531,519,464,488,469,350,291,252,190,98,56,45
May,9,2016,Monday,15,10,13,22,47,90,157,219,186,205,229,265,316,293,437,524,739,626,334,204,166,111,67,79
May,10,2016,Tuesday,27,12,29,23,30,95,134,184,173,215,243,305,288,316,467,541,754,621,361,248,179,153,90,77
May,11,2016,Wednesday,24,13,38,26,45,85,147,227,164,221,248,270,306,314,446,612,741,696,372,220,233,134,93,65
May,12,2016,Thursday,26,26,29,27,45,88,154,220,157,215,235,272,269,338,444,578,756,608,339,250,204,163,92,79
May,13,2016,Friday,26,29,33,31,56,84,151,227,216,248,323,343,347,358,551,602,689,640,436,320,246,184,113,101
May,14,2016,Saturday,46,45,27,14,30,24,66,106,161,287,363,433,442,433,438,396,398,419,341,271,195,168,125,85
May,15,2016,Sunday,50,46,58,17,22,24,28,64,115,191,303,384,398,378,396,395,374,328,305,215,150,115,51,28
May,16,2016,Monday,15,10,6,17,43,99,160,217,185,208,208,266,284,314,437,564,723,619,334,230,177,79,85,62
May,17,2016,Tuesday,29,15,33,24,34,96,176,252,225,222,240,255,282,295,439,603,764,627,387,280,218,151,89,84
May,18,2016,Wednesday,33,19,32,29,43,88,165,233,226,217,258,283,331,346,413,578,791,666,356,277,212,123,83,85
May,19,2016,Thursday,27,22,26,25,50,102,164,239,225,206,265,290,308,373,446,606,751,635,405,267,240,145,102,82
May,20,2016,Friday,31,26,30,27,53,83,139,235,235,259,312,356,430,420,550,662,835,763,576,359,272,158,141,105
May,21,2016,Saturday,47,51,21,12,21,28,87,132,237,331,390,427,464,467,452,416,411,368,351,231,208,158,116,89
May,22,2016,Sunday,58,40,19,11,16,22,34,79,166,256,376,415,439,456,454,441,445,354,316,232,194,98,61,49
May,23,2016,Monday,20,11,10,19,40,107,174,209,194,227,254,324,316,278,434,530,727,607,366,229,152,96,68,84
May,24,2016,Tuesday,30,17,29,26,42,92,152,204,186,192,241,268,307,311,440,575,766,652,394,242,211,165,104,71
May,25,2016,Wednesday,31,28,34,24,40,98,152,233,195,204,278,283,300,339,452,568,787,636,376,315,206,143,96,78
May,26,2016,Thursday,30,20,30,25,49,89,132,211,200,214,247,285,322,359,549,610,799,654,414,283,236,163,94,74
May,27,2016,Friday,35,26,29,24,46,78,116,222,200,259,331,400,420,434,540,634,747,707,509,334,239,178,144,102
May,28,2016,Saturday,59,47,24,8,14,25,53,109,180,248,388,459,492,421,453,403,433,363,327,209,175,141,88,74
May,29,2016,Sunday,56,47,26,13,9,20,36,75,132,246,347,508,587,465,443,453,428,391,304,245,217,131,82,59
May,30,2016,Monday,43,19,17,3,8,16,48,66,102,220,308,363,424,414,366,375,346,287,249,193,150,103,54,52
May,31,2016,Tuesday,28,5,9,21,32,75,161,202,167,197,256,264,279,340,453,558,745,588,307,241,156,124,68,80
Jun,1,2016,Wednesday,28,20,23,27,28,91,141,221,198,212,245,319,326,349,494,537,789,659,415,281,213,134,95,78
Jun,2,2016,Thursday,29,27,36,22,30,96,155,230,200,239,232,288,309,320,436,596,747,676,380,246,224,159,120,76
Jun,3,2016,Friday,50,20,34,25,42,88,143,204,208,246,309,343,386,418,480,610,754,653,432,300,216,174,131,105
Jun,4,2016,Saturday,44,51,22,11,27,29,77,128,197,276,355,381,447,484,408,482,371,370,307,281,224,185,110,84
Jun,5,2016,Sunday,60,59,29,17,15,20,41,86,167,248,350,415,459,455,466,427,378,313,282,197,183,143,55,43
Jun,6,2016,Monday,19,12,7,11,40,95,152,185,186,188,240,275,316,342,422,550,736,617,348,239,143,129,89,73
Jun,7,2016,Tuesday,23,21,30,22,44,98,149,216,190,229,232,303,278,325,401,575,762,663,381,225,204,147,103,79
Jun,8,2016,Wednesday,41,20,30,24,41,97,159,230,214,210,266,280,304,329,458,627,794,659,421,271,211,164,100,76
Jun,9,2016,Thursday,31,30,36,27,50,84,157,207,188,185,258,319,325,378,503,648,721,654,393,263,212,161,112,85
Jun,10,2016,Friday,36,21,26,33,54,91,145,226,228,240,321,366,432,419,499,597,755,595,333,227,200,179,106,90
Jun,11,2016,Saturday,60,30,21,12,22,39,52,174,216,292,425,449,492,454,357,416,496,426,359,304,235,191,127,87
Jun,12,2016,Sunday,56,42,25,15,12,28,34,68,136,166,249,350,434,441,492,464,400,356,277,243,205,116,74,33
Jun,13,2016,Monday,27,9,16,14,47,98,147,205,170,203,239,291,306,320,419,541,726,591,360,238,176,148,78,69
